Location,Fictional/Closed
Boggo Road Gaol,FALSE
Ferny Grove,FALSE
Brisbane Supreme Court,FALSE
"Sandakan Street, Darra",TRUE
Queensland Cement and Lime Company,FALSE
"Swanavelder/Butcher/Hardy Sts, Darra",TRUE
"Oxley, QLD",FALSE
Corinda,FALSE
Yeerongpilly,FALSE
"Sisters of Mercy Women’s Refugee, 61 Bage St, Nundah",FALSE
"Manly, QLD",FALSE
Darra Lawn Bowls Club,FALSE
"Ebrington St, Darra",FALSE
"Ducie Street Park, Darra",FALSE
"Stratheden St, Darra",FALSE
"Harrington St, Darra",FALSE
"Arcadia Cres, Darra",FALSE
Darra State School,FALSE
Darra Auto and Window Tinting,TRUE
Darra Brickworks,FALSE
Darra Train Station,FALSE
"Winslow St, Darra",FALSE
"Mill St, Goodna",TRUE
Inala,FALSE
"5 Lancelot Street, Bracken Ridge",TRUE
Richlands,FALSE
The Courier Mail,FALSE
The Gap,FALSE
Eagle Farm Racecourse,FALSE
Eight Mile Plains,FALSE
"South-West Star, 64 Spine St, Sumner Park",FALSE
Woolloongabba,FALSE
Redcliffe,FALSE
Gaythorne,FALSE
Suttons Beach,FALSE
Brisbane City Hall,FALSE
King George Square,FALSE
"St Vincent de Paul Society Opportunity Shop, Oxley",FALSE
Redlands,FALSE
"Darra Station Rd, Darra",FALSE
Kosciuszko Polish Association of Darra,FALSE
Moorooka,FALSE
University of Queensland,FALSE
Park Terrace,TRUE
"Oxley Avenue, Corinda",FALSE
Jindalee State High School,FALSE
Ipswich,FALSE
Logan City,FALSE
Richlands State High School,TRUE
Jindalee Pool,FALSE
Jamboree Heights,FALSE
Moorooka Magic Mile,FALSE
Ribbetts,FALSE
South Brisbane,FALSE
Ballymore,FALSE
Fortitude Valley,FALSE
Highgate Hill,FALSE
Story Bridge,FALSE
Moreton Bay,FALSE
Bald Hills,FALSE
"George Street, Brisbane City",FALSE
Queensland Supreme Court,FALSE
Wilston,FALSE
Bellbowrie,FALSE
Regatta Hotel,FALSE
Royal Brisbane Hospital,FALSE
Hornibrook Bridge,FALSE
RNA Showgrounds,FALSE
Bowen Hills Train Station,FALSE
Clayfield,FALSE
"Centenary Highway, Darra",FALSE
Redcliffe Dolphins Oval,FALSE
Enoggera Reservoir,FALSE
Ipswich Motorway,FALSE
"Arthur Street, Bracken Ridge",FALSE
"Gawain Road, Bracken Ridge",FALSE
"Percivale Street, Bracken Ridge",FALSE
"Geraint Street, Bracken Ridge",FALSE
Nashville State High School,FALSE
Nashville,FALSE
"Tor Street, Bracken Ridge",FALSE
"16, 17, 32, 53 Lancelot St, Bracken Ridge",TRUE
"Bayan Kennels, 206 Norris Rd, Bracken Ridge",FALSE
Toombul Shoppingtown,FALSE
Brighton,FALSE
"Bee Gees Memorial, Redcliffe",FALSE
Sandgate Train Station,FALSE
Deagon Racecourse,FALSE
Bindha Train Station,FALSE
Golden Circle Cannery,FALSE
"Chapel St and St Vincents Rd, Northgate",FALSE
Sandgate Swimming Pool,FALSE
Dutton Park Train Station,FALSE
Bracken Ridge Scouts Centre,FALSE
Albany Creek Crematorium,FALSE
Redcliffe Hospital,FALSE
"Red Rooster, 162 Barrett Street, Bracken Ridge",TRUE
"Playford Street, Bracken Ridge",FALSE
"Mother Duck Child Care, Denham St, Bracken Ridge",FALSE
Samford,FALSE
Cedar Creek Falls,FALSE
"Cabbage Tree Creek, Shorncliffe",FALSE
Chermside,FALSE
Kedron,FALSE
Barrett Street Medical Centre,FALSE
"G. James Glass and Aluminium, Kingsford Smith Drive, Hamilton",FALSE
Bracken Ridge Tavern,FALSE
Hamilton Hotel,FALSE
"Buckland Road, Nundah",FALSE
"McKeering St, Bracken Ridge",FALSE
Wacol,FALSE
"Eldorado Cinema, Indooroopilly",FALSE
Shorncliffe Pier,FALSE
"Narela St, Cannon Hill",FALSE
Boondall,FALSE
Bracken Ridge Library,FALSE
Ascot,FALSE
Clayfield,FALSE
New Farm,FALSE
Bulimba,FALSE
"24 Montague Road, West End",FALSE
Doomben,FALSE
Oxley Hotel,FALSE
Oxley Laundromat,FALSE
"Logan Avenue, Oxley",FALSE
Wacol East Dependants Holding Camp for Displaced Persons,FALSE
"Cork Lane, Bellbowrie",TRUE
Fortitude Valley Police Station,FALSE
Queensland Museum,FALSE
"Countess Street, Brisbane",FALSE
"Roma Street, Brisbane",FALSE
"Adelaide Street, Brisbane",FALSE
Roma Street Police Station,FALSE
